team,player_number,left,top,success,game_index,rival,home
CB LA MATANZA,10,34.414699999999996,48.1469,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,7,24.6827,61.0029,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,22.0028,60.7508,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,11,24.823700000000002,87.5972,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,0,15.091700000000003,51.8021,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,7,11.565600000000003,49.2813,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,32.5106,73.8589,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,3,25.105800000000002,87.9753,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,31.5233,22.0568,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,7.5458,61.381,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,9.661500000000004,51.8021,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,13.6812,67.683,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,32.9337,73.1027,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,0,12.341300000000004,56.2134,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,13.681200000000004,52.5583,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,26.868799999999993,88.2274,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,0,13.0465,37.1815,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,30.4654,80.2869,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,14,15.021199999999993,51.55,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,25.811,49.7854,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,14,21.438599999999994,8.94877,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,27.503500000000003,42.6012,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,11,24.048000000000002,89.4877,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,11,28.4203,16.8892,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,30.465400000000002,19.6621,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,11,25.811,86.967,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,7,11.9887,45.122,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,27.644599999999997,83.816,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,31.8054,20.5444,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,26.8688,16.5111,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,7,21.2976,62.5154,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,6,11.636099999999999,52.5583,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,27.080399999999997,85.2024,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,14,34.97880000000001,61.6331,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,0,13.9633,41.5929,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,11,25.4584,61.7591,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,3,25.317300000000003,15.6288,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,10.2962,46.1303,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,24.400599999999997,9.57897,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,22,22.778599999999997,88.6055,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,0,13.6107,61.381,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,14,17.207300000000004,36.6774,True,1,TOSCONES CORRALEJO,False
